Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 67.0.3396.87,,2018-06-19 11:52:54,2018-06-19 11:53:06,11.740s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 67.0.3396.87,,2018-06-19 11:52:55,2018-06-19 11:53:05,10.215s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 11:52:56,2018-06-19 11:53:00,4.004s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 11:53:00,2018-06-19 11:53:00,0.890s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-19 11:53:00,2018-06-19 11:53:01,0.135s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:53:01,2018-06-19 11:53:01,0.430s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:53:01,2018-06-19 11:53:01,0.197s,PASSED
click,Chrome 67.0.3396.87,,2018-06-19 11:53:01,2018-06-19 11:53:02,0.452s,PASSED
"Statement - flag = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Another session is currently active with this User ID. You can continue to sign in with this User ID by checking the ""Force Sign In"" option."", false)",Chrome 67.0.3396.87,,2018-06-19 11:53:02,2018-06-19 11:53:02,0.270s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-19 11:53:02,2018-06-19 11:53:05,3.082s,PASSED
