Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 67.0.3396.87,,2018-06-19 12:48:57,2018-06-19 12:49:10,13.394s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 67.0.3396.87,,2018-06-19 12:48:57,2018-06-19 12:49:09,11.855s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 12:48:58,2018-06-19 12:49:05,6.463s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 12:49:05,2018-06-19 12:49:05,0.734s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-19 12:49:05,2018-06-19 12:49:05,0.134s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 12:49:05,2018-06-19 12:49:06,0.373s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 12:49:06,2018-06-19 12:49:06,0.328s,PASSED
click,Chrome 67.0.3396.87,,2018-06-19 12:49:06,2018-06-19 12:49:06,0.334s,PASSED
"Statement - flag = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Another session is currently active with this User ID. You can continue to sign in with this User ID by checking the ""Force Sign In"" option."", false)",Chrome 67.0.3396.87,,2018-06-19 12:49:06,2018-06-19 12:49:07,0.294s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-19 12:49:07,2018-06-19 12:49:09,2.469s,PASSED
