Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 66.0.3359.181,,2018-06-15 18:40:46,2018-06-15 18:41:16,30.059s,FAILED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 66.0.3359.181,,2018-06-15 18:40:48,2018-06-15 18:41:15,27.261s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-15 18:40:49,2018-06-15 18:41:02,12.931s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-15 18:41:02,2018-06-15 18:41:05,2.455s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-15 18:41:05,2018-06-15 18:41:06,1.352s,PASSED
click,Chrome 66.0.3359.181,,2018-06-15 18:41:06,2018-06-15 18:41:15,9.000s,FAILED
