Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 67.0.3396.87,,2018-06-19 11:40:25,2018-06-19 11:40:38,13.612s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 67.0.3396.87,,2018-06-19 11:40:25,2018-06-19 11:40:37,11.820s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 11:40:26,2018-06-19 11:40:32,6.041s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 11:40:32,2018-06-19 11:40:33,1.064s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-19 11:40:33,2018-06-19 11:40:33,0.099s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:40:33,2018-06-19 11:40:34,0.418s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:40:34,2018-06-19 11:40:34,0.295s,PASSED
click,Chrome 67.0.3396.87,,2018-06-19 11:40:34,2018-06-19 11:40:35,0.557s,PASSED
"Statement - flag = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Another session is currently active with this User ID. You can continue to sign in with this User ID by checking the ""Force Sign In"" option."", false)",Chrome 67.0.3396.87,,2018-06-19 11:40:35,2018-06-19 11:40:35,0.287s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-19 11:40:35,2018-06-19 11:40:37,2.321s,PASSED
