Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 67.0.3396.87,,2018-06-19 11:42:01,2018-06-19 11:42:13,12.484s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 67.0.3396.87,,2018-06-19 11:42:02,2018-06-19 11:42:13,11.037s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-19 11:42:02,2018-06-19 11:42:08,5.378s,PASSED
navigateToUrl,Chrome 67.0.3396.87,,2018-06-19 11:42:08,2018-06-19 11:42:08,0.621s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-19 11:42:08,2018-06-19 11:42:08,0.154s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:42:08,2018-06-19 11:42:09,0.399s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-19 11:42:09,2018-06-19 11:42:09,0.303s,PASSED
click,Chrome 67.0.3396.87,,2018-06-19 11:42:09,2018-06-19 11:42:10,0.595s,PASSED
"Statement - flag = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Another session is currently active with this User ID. You can continue to sign in with this User ID by checking the ""Force Sign In"" option."", false)",Chrome 67.0.3396.87,,2018-06-19 11:42:10,2018-06-19 11:42:10,0.344s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-19 11:42:10,2018-06-19 11:42:13,2.564s,PASSED
