Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Hyphen AT,Chrome 66.0.3359.181,,2018-06-14 10:48:06,2018-06-14 10:48:38,32.627s,PASSED
,,,,,,
Test Cases/Open Hyphen Page,Chrome 66.0.3359.181,,2018-06-14 10:48:07,2018-06-14 10:48:38,31.351s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-14 10:48:08,2018-06-14 10:48:19,10.700s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-14 10:48:19,2018-06-14 10:48:21,1.716s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-14 10:48:21,2018-06-14 10:48:22,1.576s,PASSED
click,Chrome 66.0.3359.181,,2018-06-14 10:48:22,2018-06-14 10:48:37,15.291s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-14 10:48:37,2018-06-14 10:48:38,0.986s,PASSED
